Evento,Lugar,Fecha,Orden,Track,Tipo,Programa Evento,Autor,Título,Video,Palabras clave,Descripción,Recursos
Meetups 2023,Santiago,2023-02-28,04,,Charla,No Aplica,Daniel Hernández,Interfaces Low-code Qt-integración Python,https://www.youtube.com/live/6h6V02LxIBc?feature=share&t=2989,Qt; low-code; python; Interfaces,,
Meetups 2023,Santiago,2023-02-28,03,,Charla,No Aplica,Daniel Acuña,Interfaces Low-code Qt-integración Python/ML Workflows con Kubeflow Pipelines v2,https://www.youtube.com/live/6h6V02LxIBc?feature=share&t=466,Workflows; Kubeflow; Machine learning; Pipelines,,
Meetups 2023,Online,2023-02-23,02,,Charla,No aplica,Anavelyz Pérez; Yurely Camacho,Open Science Labs:Apoyando comunidades Python cientifico,https://www.youtube.com/live/iZmh-UVaQt8?feature=share&t=2773,Open science; Python cientifico; Comunidad,,
Meetups 2023,Online,2023-02-23,01,,Charla,No aplica,Pamela Ibarguren,Que buscan empresas USA en ingenieros LATAM,https://www.youtube.com/live/iZmh-UVaQt8?feature=share&t=58,Howdy; Empleo; estados unidos; Comunidad,,
Pycon 2022,Copiapó,2022-12-02,01,,Charla,https://pycon.cl/#programa,Pedro Cuyanao,Experiencia de aprendizaje Python Presencial v/s Remoto,https://youtu.be/NlwOtd3QQWo,experiencia; aprendizaje; python; presencial; remoto,,
Pycon 2022,Copiapó,2022-12-02,02,,Charla,https://pycon.cl/#programa,Elizabeth Aguilera,Como aprender Python desde la ansiedad,https://youtu.be/zLFJyQJ3Xfk,Experiencia; Ansiedad; Miedo,,
Pycon 2022,Copiapó,2022-12-02,03,,Charla,https://pycon.cl/#programa,Andrés Ibáñez,Aprendamos a usar TKINTER interfaces gráficas en Python,https://youtu.be/USMS9CpsIRA,UI; Interfaz; TKinter; visual,,
Pycon 2022,Copiapó,2022-12-02,04,,Charla,https://pycon.cl/#programa,Sebastian Varas,Como iniciar desde 0 en python,https://youtu.be/uNaN21ZAaOA,Principiante; python,,
Pycon 2022,Copiapó,2022-12-02,05,,Charla,https://pycon.cl/#programa,Kevin Carmona,IA: El arte de crear cualquier cosa,https://youtu.be/XT5FO7yeFaQ,IA creativa; Stable Diffusion; IA,,
Pycon 2022,Copiapó,2022-12-02,06,,Charla,https://pycon.cl/#programa,Maximilia Saa; Bastian Lara; Alberto Olivares,DisApp Integración para personas con problemas de audición/presbiacusia,https://youtu.be/LHirVfT02No,Discapacidad; Integracion; DisApp,,
